contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']","['upset', 'sad', 'unhappy', 'disturbed']"
satisfied,"['convinced', 'contented', 'happy', 'paid', 'supplied', 'filled', 'certain', 'positive']",['unhappy']
influenced,"['changed', 'moved', 'determined', 'altered', 'persuaded', 'motivated', 'shaped', 'turned', 'formed']",['kept']
changed,"['returned', 'reversed', 'transferred', 'replaced', 'restored', 'switched']","['placed', 'stored', 'permanent', 'kept', 'final']"
returned,"['exchanged', 'repeated']","['held', 'kept', 'retained']"
exchanged,"['changed', 'returned']",['kept']
kept,['stored'],"['forgotten', 'abandoned', 'broken']"
reserved,"['composed', 'quiet', 'modest', 'distant', 'peaceful', 'retiring', 'shy', 'gentle', 'collected', 'close', 'withdrawn', 'cool', 'conventional', 'formal', 'mild']","['excited', 'friendly', 'upset', 'given', 'disturbed', 'troubled', 'assured', 'bold', 'offered']"
composed,"['relaxed', 'confident', 'possessed', 'cool', 'easy', 'serious', 'staid', 'together', 'calmed', 'quieted']","['nervous', 'upset', 'worried', 'excited', 'angered']"
relaxed,"['composed', 'informal', 'calm', 'easy', 'flexible', 'casual', 'collected', 'moderate', 'liberal', 'mild', 'natural', 'patient']","['excited', 'worried', 'planned', 'troubled', 'formal', 'stiff', 'difficult', 'violent', 'wild']"
informal,"['relaxed', 'intimate', 'democratic', 'easy', 'everyday', 'familiar', 'free', 'loose', 'mixed', 'natural', 'open', 'ordinary']","['official', 'formal', 'stiff']"
intimate,"['warm', 'loving', 'near', 'fast', 'mix', 'dear', 'close', 'regular', 'nice', 'next', 'dearest', 'nearest']","['far', 'cold', 'cool', 'away', 'loose', 'formal', 'public']"
warm,"['sunny', 'mild', 'pleasant', 'hot', 'heated', 'sweating', 'melting', 'close']","['freezing', 'violent', 'cool', 'cooled', 'cold', 'unhappy', 'calm']"
sunny,"['pleasant', 'brilliant', 'fine', 'light', 'shining']","['upset', 'dark', 'unhappy']"
pleasant,"['sweet', 'mild', 'satisfying', 'pleasing', 'charming', 'lovely', 'fun', 'engaging', 'civil', 'diplomatic', 'fine', 'nice', 'social', 'soft', 'welcome']","['boring', 'bad', 'mean', 'bitter', 'ugly', 'sad', 'unhappy', 'harsh', 'severe', 'nasty', 'offensive', 'troubling']"
sweet,[],"['acid', 'bitter', 'mean', 'ugly']"
acid,"['biting', 'sharp']","['basic', 'kind', 'mild', 'sweet', 'nice']"
biting,"['bitter', 'harsh', 'cutting', 'freezing', 'cold', 'raw']","['pleasant', 'kind', 'mild', 'nice', 'calm', 'sweet']"
bitter,"['harsh', 'acid']","['pleasant', 'content', 'kind', 'wonderful', 'sweet', 'mild', 'nice', 'good', 'helping']"
harsh,"['hard', 'severe', 'sharp', 'bitter', 'cracked', 'disagreeing', 'disturbing', 'flat', 'jarring']","['pleasant', 'kind', 'peaceful', 'pleasing', 'flexible', 'soft', 'yielding', 'easy', 'mild', 'nice', 'bright', 'sunny', 'calm', 'moderate', 'low', 'gentle', 'smooth']"
hard,"['solid', 'strong', 'tough', 'concentrated', 'dense', 'firm', 'iron', 'packed', 'set', 'stiff', 'thick']","['vulnerable', 'pleasant', 'uncertain', 'soft', 'weak', 'delicate', 'flexible', 'yielding', 'easy', 'mild', 'simple', 'nice', 'sensitive']"
solid,"['tight', 'strong', 'substantial', 'stable', 'sound', 'heavy', 'set', 'material', 'firm', 'concrete', 'rock', 'close', 'thick', 'concentrated', 'dense', 'fixed', 'physical', 'rooted', 'secure']","['divided', 'vulnerable', 'weak', 'little', 'slight', 'small', 'moving', 'flexible', 'soft', 'loose', 'thin', 'fluid', 'liquid', 'broken']"
tight,"['strong', 'stiff', 'solid', 'strained', 'steady', 'fast', 'stable', 'quick', 'thick', 'narrow', 'bound', 'crowded', 'dense', 'drawn', 'enduring', 'established', 'firm', 'fixed', 'secure', 'set', 'tightened', 'contracted', 'stretched']","['loose', 'weak', 'moderate', 'soft', 'flexible', 'calm', 'broken', 'slow', 'reasonable', 'yielding', 'comfortable', 'free', 'open', 'wide', 'giving', 'easy']"
strong,"['firm', 'heavy', 'secure', 'tough', 'capable', 'solid', 'big', 'able', 'steady', 'athletic', 'substantial', 'stable', 'active', 'enduring', 'fixed', 'reinforced', 'sound']","['fragile', 'vulnerable', 'unable', 'vague', 'pale', 'loose', 'soft', 'weak', 'yielding', 'moving', 'little', 'small', 'easy', 'delicate', 'broken', 'mild', 'moderate', 'low']"
firm,"['tough', 'solid', 'hard', 'substantial', 'thick', 'stiff', 'concentrated', 'set', 'concrete', 'close', 'heavy', 'dense']","['vulnerable', 'weak', 'nice', 'easy', 'soft', 'flexible', 'yielding', 'loose', 'moving']"
tough,"['stiff', 'solid', 'hard', 'tight', 'healthy', 'firm', 'fit', 'conditioned', 'dense', 'seasoned', 'steeled']","['fragile', 'vulnerable', 'kind', 'weak', 'yielding', 'loose', 'flexible', 'soft', 'easy', 'delicate', 'gentle', 'nice', 'tender']"
stiff,"['solid', 'tight', 'thick', 'wooden', 'firm', 'set', 'fixed', 'frozen', 'mechanical', 'chilled', 'contracted']","['bending', 'informal', 'soft', 'loose', 'flexible', 'casual', 'easy', 'calm', 'moderate', 'normal']"
thick,"['heavy', 'wide', 'broad', 'hard', 'fat', 'massive', 'firm', 'solid', 'high', 'concrete', 'substantial']","['restricted', 'intelligent', 'wise', 'little', 'slight', 'small', 'easy', 'narrow', 'thin', 'loose', 'flexible', 'soft', 'weak', 'low', 'smart', 'clear', 'reasonable']"
heavy,"['huge', 'excessive', 'big', 'fat', 'large', 'substantial', 'massive', 'considerable', 'built', 'loaded', 'pregnant']","['tiny', 'small', 'thin', 'little', 'easy', 'slight', 'poor', 'light', 'gay', 'happy', 'moving']"
huge,"['enormous', 'tremendous', 'great', 'giant', 'massive', 'towering', 'extensive', 'vast']","['tiny', 'minor', 'little', 'minute', 'small', 'short', 'poor', 'limited', 'narrow']"
enormous,"['huge', 'excessive', 'tremendous', 'massive', 'vast', 'gross']","['tiny', 'little', 'minute', 'small', 'common', 'ordinary']"
excessive,"['extra', 'enormous', 'steep', 'extreme', 'more', 'over', 'stiff', 'super', 'towering']","['needed', 'essential', 'necessary', 'moderate', 'reasonable', 'cheap', 'low', 'close', 'mild']"
extra,"['added', 'additional', 'extraordinary', 'fresh', 'new', 'further', 'other', 'special', 'button', 'tip', 'spare', 'plus', 'more', 'reserve', 'another', 'beyond']","['needed', 'used', 'usual', 'worn', 'basic', 'elementary', 'fundamental', 'necessary', 'common', 'normal', 'ordinary', 'old', 'main', 'essential']"
combined,"['mixed', 'united', 'connected', 'joined']",[]
mixed,"['different', 'diverse', 'varied', 'disordered', 'united', 'tied', 'joint', 'compound', 'married', 'incorporated', 'woven', 'blended', 'crossed']","['alike', 'like', 'similar', 'same', 'uniform', 'separate', 'single']"
different,"['contrasting', 'distinct', 'distinctive', 'diverse', 'various', 'particular', 'distant', 'other', 'altered', 'changed', 'colorful', 'individual', 'opposed', 'otherwise', 'single']","['alike', 'like', 'similar', 'resembling', 'standard', 'usual', 'united', 'same', 'common', 'normal', 'ordinary', 'uniform', 'correspondent', 'conventional']"
conflicting,"['opposing', 'opposed']",['peaceful']
opposing,"['conflicting', 'rival', 'opposite', 'contending']",[]
rival,"['conflicting', 'equal', 'opposed', 'competitive', 'competing', 'contending', 'battling', 'combating', 'contesting', 'disputing']","['assisting', 'associate', 'supporting']"
equal,"['identical', 'comparable', 'equivalent', 'balanced', 'correspondent', 'level', 'double', 'same', 'coordinate', 'uniform']","['unlike', 'changing', 'variable', 'varying', 'biased', 'unfair', 'different']"
identical,"['exact', 'double', 'equivalent', 'like', 'same', 'twin', 'very']","['diverse', 'opposite', 'unlike', 'different', 'distinct']"
exact,"['perfect', 'identical', 'explicit', 'specific', 'correct', 'clear', 'express', 'right', 'careful', 'distinct', 'nice', 'particular', 'sharp', 'verbal', 'true']","['uncertain', 'vague', 'wrong', 'loose']"
perfect,"['ideal', 'pure', 'excellent', 'sound', 'experienced', 'expert', 'classical', 'accomplished', 'finished', 'absolute', 'skilled']","['poor', 'bad', 'wrong', 'broken', 'part']"
ideal,"['fitting', 'excellent', 'classical', 'classic', 'representative', 'absolute', 'complete']","['wrong', 'actual', 'common', 'material', 'practical']"
fitting,"['proper', 'meet', 'becoming', 'right', 'correct', 'due', 'decent', 'happy', 'just']",['wrong']
proper,"['good', 'useful', 'decent', 'fitting', 'appropriate', 'legitimate', 'able', 'becoming', 'capable', 'fit', 'happy', 'just', 'meet', 'qualified', 'right', 'suited', 'true', 'desired']",['general']
