contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']"
satisfied,"['convinced', 'contented', 'happy', 'paid', 'supplied', 'filled', 'certain', 'positive']"
convinced,['persuaded']
persuaded,"['influenced', 'led', 'motivated']"
influenced,"['changed', 'moved', 'determined', 'altered', 'persuaded', 'motivated', 'shaped', 'turned', 'formed']"
changed,"['returned', 'reversed', 'transferred', 'replaced', 'restored', 'switched']"
returned,"['exchanged', 'repeated']"
exchanged,"['changed', 'returned']"
kept,['stored']
stored,"['reserved', 'gathered', 'saved']"
reserved,"['composed', 'quiet', 'modest', 'distant', 'peaceful', 'retiring', 'shy', 'gentle', 'collected', 'close', 'withdrawn', 'cool', 'conventional', 'formal', 'mild']"
composed,"['relaxed', 'confident', 'possessed', 'cool', 'easy', 'serious', 'staid', 'together', 'calmed', 'quieted']"
relaxed,"['composed', 'informal', 'calm', 'easy', 'flexible', 'casual', 'collected', 'moderate', 'liberal', 'mild', 'natural', 'patient']"
informal,"['relaxed', 'intimate', 'democratic', 'easy', 'everyday', 'familiar', 'free', 'loose', 'mixed', 'natural', 'open', 'ordinary']"
intimate,"['warm', 'loving', 'near', 'fast', 'mix', 'dear', 'close', 'regular', 'nice', 'next', 'dearest', 'nearest']"
warm,"['sunny', 'mild', 'pleasant', 'hot', 'heated', 'sweating', 'melting', 'close']"
sunny,"['pleasant', 'brilliant', 'fine', 'light', 'shining']"
pleasant,"['sweet', 'mild', 'satisfying', 'pleasing', 'charming', 'lovely', 'fun', 'engaging', 'civil', 'diplomatic', 'fine', 'nice', 'social', 'soft', 'welcome']"
sweet,[]
acid,"['biting', 'sharp']"
biting,"['bitter', 'harsh', 'cutting', 'freezing', 'cold', 'raw']"
bitter,"['harsh', 'acid']"
harsh,"['hard', 'severe', 'sharp', 'bitter', 'cracked', 'disagreeing', 'disturbing', 'flat', 'jarring']"
hard,"['solid', 'strong', 'tough', 'concentrated', 'dense', 'firm', 'iron', 'packed', 'set', 'stiff', 'thick']"
solid,"['tight', 'strong', 'substantial', 'stable', 'sound', 'heavy', 'set', 'material', 'firm', 'concrete', 'rock', 'close', 'thick', 'concentrated', 'dense', 'fixed', 'physical', 'rooted', 'secure']"
tight,"['strong', 'stiff', 'solid', 'strained', 'steady', 'fast', 'stable', 'quick', 'thick', 'narrow', 'bound', 'crowded', 'dense', 'drawn', 'enduring', 'established', 'firm', 'fixed', 'secure', 'set', 'tightened', 'contracted', 'stretched']"
strong,"['firm', 'heavy', 'secure', 'tough', 'capable', 'solid', 'big', 'able', 'steady', 'athletic', 'substantial', 'stable', 'active', 'enduring', 'fixed', 'reinforced', 'sound']"
firm,"['tough', 'solid', 'hard', 'substantial', 'thick', 'stiff', 'concentrated', 'set', 'concrete', 'close', 'heavy', 'dense']"
tough,"['stiff', 'solid', 'hard', 'tight', 'healthy', 'firm', 'fit', 'conditioned', 'dense', 'seasoned', 'steeled']"
stiff,"['solid', 'tight', 'thick', 'wooden', 'firm', 'set', 'fixed', 'frozen', 'mechanical', 'chilled', 'contracted']"
thick,"['heavy', 'wide', 'broad', 'hard', 'fat', 'massive', 'firm', 'solid', 'high', 'concrete', 'substantial']"
heavy,"['huge', 'excessive', 'big', 'fat', 'large', 'substantial', 'massive', 'considerable', 'built', 'loaded', 'pregnant']"
huge,"['enormous', 'tremendous', 'great', 'giant', 'massive', 'towering', 'extensive', 'vast']"
enormous,"['huge', 'excessive', 'tremendous', 'massive', 'vast', 'gross']"
excessive,"['extra', 'enormous', 'steep', 'extreme', 'more', 'over', 'stiff', 'super', 'towering']"
extra,"['added', 'additional', 'extraordinary', 'fresh', 'new', 'further', 'other', 'special', 'button', 'tip', 'spare', 'plus', 'more', 'reserve', 'another', 'beyond']"
added,"['combined', 'joined', 'extra', 'further', 'farther', 'more']"
combined,"['mixed', 'united', 'connected', 'joined']"
mixed,"['different', 'diverse', 'varied', 'disordered', 'united', 'tied', 'joint', 'compound', 'married', 'incorporated', 'woven', 'blended', 'crossed']"
different,"['contrasting', 'distinct', 'distinctive', 'diverse', 'various', 'particular', 'distant', 'other', 'altered', 'changed', 'colorful', 'individual', 'opposed', 'otherwise', 'single']"
contrasting,"['conflicting', 'different']"
conflicting,"['opposing', 'opposed']"
opposing,"['conflicting', 'rival', 'opposite', 'contending']"
rival,"['conflicting', 'equal', 'opposed', 'competitive', 'competing', 'contending', 'battling', 'combating', 'contesting', 'disputing']"
equal,"['identical', 'comparable', 'equivalent', 'balanced', 'correspondent', 'level', 'double', 'same', 'coordinate', 'uniform']"
identical,"['exact', 'double', 'equivalent', 'like', 'same', 'twin', 'very']"
exact,"['perfect', 'identical', 'explicit', 'specific', 'correct', 'clear', 'express', 'right', 'careful', 'distinct', 'nice', 'particular', 'sharp', 'verbal', 'true']"
perfect,"['ideal', 'pure', 'excellent', 'sound', 'experienced', 'expert', 'classical', 'accomplished', 'finished', 'absolute', 'skilled']"
ideal,"['fitting', 'excellent', 'classical', 'classic', 'representative', 'absolute', 'complete']"
fitting,"['proper', 'meet', 'becoming', 'right', 'correct', 'due', 'decent', 'happy', 'just']"
proper,"['good', 'useful', 'decent', 'fitting', 'appropriate', 'legitimate', 'able', 'becoming', 'capable', 'fit', 'happy', 'just', 'meet', 'qualified', 'right', 'suited', 'true', 'desired']"
good,"['great', 'satisfying', 'positive', 'acceptable', 'valuable', 'bad', 'wonderful', 'favorable', 'excellent', 'sound', 'superior', 'pleasing', 'welcome', 'prime', 'capital', 'choice', 'super', 'nice', 'precious', 'select']"
great,"['huge', 'enormous', 'tremendous', 'big', 'terrible', 'high', 'strong', 'considerable', 'vast', 'extreme', 'fat', 'bull', 'decided', 'excessive', 'extended', 'extensive', 'long', 'numerous', 'towering']"
tremendous,"['fantastic', 'incredible', 'terrific', 'amazing', 'wonderful', 'great', 'extraordinary', 'excellent', 'vast', 'enormous', 'terrible', 'massive', 'awful', 'large', 'super', 'towering', 'whale', 'cracking']"
fantastic,"['incredible', 'crazy', 'ridiculous', 'weird', 'odd', 'exotic', 'artificial', 'extreme', 'foreign', 'mad', 'unlikely']"
incredible,"['ridiculous', 'impossible', 'suspect']"
ridiculous,"['incredible', 'fantastic', 'silly', 'impossible']"
silly,"['crazy', 'stupid', 'simple', 'ridiculous', 'empty']"
crazy,"['nuts', 'silly', 'mad', 'cracked', 'flipped']"
nuts,"['mad', 'touched', 'wild']"
mad,"['fantastic', 'distracted', 'mental']"
distracted,"['disturbed', 'panicked']"
disturbed,"['confused', 'upset', 'disordered']"
confused,"['puzzled', 'distracted', 'thrown']"
puzzled,"['thrown', 'lost', 'stuck', 'floored', 'shook']"
thrown,"['launched', 'tossed', 'pitched']"
launched,"['sent', 'begun', 'floated']"
sent,"['directed', 'gone', 'ordered', 'issued', 'transported', 'mailed', 'committed', 'appointed', 'commissioned', 'transmitted', 'posted']"
directed,"['controlled', 'organized', 'aimed', 'managed', 'conducted', 'guided', 'counseled', 'focused', 'sponsored', 'assisted']"
controlled,"['composed', 'guarded', 'calm', 'cool', 'contained']"
guarded,"['reserved', 'calculating', 'careful', 'safe']"
calculating,"['guarded', 'designing', 'careful', 'cunning', 'intelligent', 'safe', 'sharp']"
designing,"['sharp', 'cunning']"
sharp,"['pointed', 'fine', 'peaked', 'edged', 'tipped']"
pointed,"['sharp', 'peaked', 'fine', 'edged', 'cornered']"
peaked,['ill']
ill,"['down', 'peaked']"
down,"['sinking', 'depressed', 'descending', 'falling', 'under', 'sliding', 'slipping', 'dropping', 'declining']"
sinking,"['falling', 'fading', 'drowning', 'dropping']"
falling,"['lowering', 'plunging', 'descending', 'sinking', 'collapsing', 'weakening', 'decreasing', 'sliding', 'settling', 'diminishing', 'slipping', 'declining']"
lowering,['heavy']
plunging,"['shocking', 'revealing']"
shocking,"['terrible', 'ugly', 'horrible', 'awful', 'burning', 'crying', 'desperate', 'offensive']"
terrible,"['disturbing', 'awful', 'extreme', 'dangerous', 'severe', 'serious', 'shocking', 'desperate', 'offensive', 'poor']"
disturbing,"['alarming', 'threatening', 'discouraging', 'painful', 'upsetting', 'worrying', 'provoking', 'trying', 'difficult', 'hard', 'severe', 'uncertain', 'troubling']"
alarming,"['dangerous', 'disturbing']"
dangerous,"['threatening', 'deadly', 'terrible', 'bad', 'critical', 'alarming', 'serious', 'nasty', 'fatal', 'risky', 'delicate', 'exposed', 'loaded', 'pressing', 'vulnerable']"
threatening,"['dangerous', 'ugly', 'alarming', 'aggressive', 'lowering', 'near', 'warning', 'black', 'close']"
ugly,"['awful', 'animal', 'gross', 'plain']"
awful,"['tough', 'horrible', 'ugly', 'nasty', 'shocking', 'alarming', 'offensive']"
horrible,"['awful', 'nasty', 'scary', 'terrible', 'cruel', 'shocking', 'mean', 'offensive']"
nasty,"['tough', 'awful', 'dirty', 'horrible', 'fierce', 'rough', 'gross', 'soiled']"
dirty,"['nasty', 'spotted', 'black']"
spotted,"['dotted', 'sprinkled']"
dotted,[]
black,"['jet', 'coal', 'pitch', 'clouded']"
jet,"['midnight', 'dark']"
dark,"['black', 'faint', 'vague', 'clouded', 'shaded']"
faint,"['remote', 'slight', 'weak', 'gentle', 'mild', 'distant', 'soft', 'vague', 'delicate', 'deep', 'padded', 'pale', 'aside', 'low', 'piano', 'moderate', 'whispered', 'light', 'smooth', 'quiet', 'thin', 'faded', 'muttering', 'softened']"
remote,"['unknown', 'isolated', 'private', 'lonely', 'distant', 'frontier', 'far', 'back', 'alien', 'secret', 'wild', 'beyond', 'foreign', 'removed', 'retired']"
unknown,"['exotic', 'remote', 'foreign', 'strange', 'anonymous', 'new', 'dark', 'alien', 'far', 'secret', 'distant', 'hidden']"
exotic,"['romantic', 'colorful', 'unusual', 'alien', 'strange', 'curious', 'fascinating', 'different', 'external', 'extraordinary', 'foreign', 'introduced', 'outside', 'striking']"
romantic,"['exotic', 'fascinating', 'colorful', 'exciting', 'fantastic', 'charming', 'tender', 'mysterious', 'wild', 'daring', 'loving']"
fascinating,"['gripping', 'appealing', 'charming', 'engaging', 'compelling', 'attractive']"
gripping,"['fascinating', 'interesting', 'exciting', 'arresting', 'consuming']"
interesting,"['beautiful', 'attractive', 'lovely', 'fascinating', 'striking', 'exotic', 'unusual', 'engaging', 'compelling', 'curious', 'pleasing', 'stimulating', 'impressive', 'gripping', 'inviting', 'absorbing', 'winning', 'arresting', 'affecting', 'entrancing', 'fine', 'stirring', 'elegant', 'magnetic', 'suspicious']"
beautiful,"['cute', 'fascinating', 'fine', 'wonderful', 'pretty', 'grand', 'lovely', 'charming', 'delicate', 'handsome', 'pleasing', 'elegant', 'appealing', 'divine', 'excellent', 'fair', 'ideal', 'nice', 'taking']"
cute,"['beautiful', 'charming', 'pleasant', 'pretty']"
