contented,"['upset', 'sad', 'unhappy', 'disturbed']"
satisfied,['unhappy']
influenced,['kept']
changed,"['placed', 'stored', 'permanent', 'kept', 'final']"
returned,"['held', 'kept', 'retained']"
exchanged,['kept']
kept,"['forgotten', 'abandoned', 'broken']"
reserved,"['excited', 'friendly', 'upset', 'given', 'disturbed', 'troubled', 'assured', 'bold', 'offered']"
composed,"['nervous', 'upset', 'worried', 'excited', 'angered']"
relaxed,"['excited', 'worried', 'planned', 'troubled', 'formal', 'stiff', 'difficult', 'violent', 'wild']"
informal,"['official', 'formal', 'stiff']"
intimate,"['far', 'cold', 'cool', 'away', 'loose', 'formal', 'public']"
warm,"['freezing', 'violent', 'cool', 'cooled', 'cold', 'unhappy', 'calm']"
sunny,"['upset', 'dark', 'unhappy']"
pleasant,"['boring', 'bad', 'mean', 'bitter', 'ugly', 'sad', 'unhappy', 'harsh', 'severe', 'nasty', 'offensive', 'troubling']"
sweet,"['acid', 'bitter', 'mean', 'ugly']"
acid,"['basic', 'kind', 'mild', 'sweet', 'nice']"
biting,"['pleasant', 'kind', 'mild', 'nice', 'calm', 'sweet']"
bitter,"['pleasant', 'content', 'kind', 'wonderful', 'sweet', 'mild', 'nice', 'good', 'helping']"
harsh,"['pleasant', 'kind', 'peaceful', 'pleasing', 'flexible', 'soft', 'yielding', 'easy', 'mild', 'nice', 'bright', 'sunny', 'calm', 'moderate', 'low', 'gentle', 'smooth']"
hard,"['vulnerable', 'pleasant', 'uncertain', 'soft', 'weak', 'delicate', 'flexible', 'yielding', 'easy', 'mild', 'simple', 'nice', 'sensitive']"
solid,"['divided', 'vulnerable', 'weak', 'little', 'slight', 'small', 'moving', 'flexible', 'soft', 'loose', 'thin', 'fluid', 'liquid', 'broken']"
tight,"['loose', 'weak', 'moderate', 'soft', 'flexible', 'calm', 'broken', 'slow', 'reasonable', 'yielding', 'comfortable', 'free', 'open', 'wide', 'giving', 'easy']"
strong,"['fragile', 'vulnerable', 'unable', 'vague', 'pale', 'loose', 'soft', 'weak', 'yielding', 'moving', 'little', 'small', 'easy', 'delicate', 'broken', 'mild', 'moderate', 'low']"
